Country,Player Name,Gold,Silver,Bronze,Total Medals
BRA,LIMA Willian,0,1,1,2
AUS,WINNINGTON Elijah,0,1,1,2
ITA,CONSONNI Simone,0,1,1,2
GER,HAKE Jule Marie,0,1,1,2
GER,PASZEK Paulina,0,1,1,2
GER,FRIEDRICH Lea,0,1,1,2
HUN,GAZSO Alida Dora,0,1,1,2
GBR,WILLIAMS Noah,0,1,1,2
ITA,ESPOSITO Manila,0,1,1,2
ITA,GANNA Filippo,0,1,1,2
JPN,HAYATA Hina,0,1,1,2
JPN,NAGAYAMA Ryuju,0,1,1,2
MEX,OLVERA IBARRA Osmar,0,1,1,2
KOR,KIM Minjong,0,1,1,2
KOR,HUH Mimi,0,1,1,2
ITA,PALTRINIERI Gregorio,0,1,1,2
JPN,HASHIMOTO Soichi,0,1,1,2
JPN,FUNAKUBO Haruka,0,1,1,2
USA,FOSTER Carson,0,1,1,2
USA,ELLISON Brady,0,1,1,2
NZL,WOLLASTON Ally,0,1,1,2
USA,MADDEN Paige,0,1,1,2
USA,SMITH Austen Jewell,0,1,1,2
USA,HOBSON Luke,0,1,1,2
PRK,KIM Mi Rae,0,1,1,2
FRA,MANAUDOU Florent,0,0,2,2
CHN,WU Qingfeng,0,0,2,2
FRA,LEBRUN Felix,0,0,2,2
CHN,YU Yiting,0,0,2,2
AUS,MONTAG Jemima,0,0,2,2
CAN,KHARUN Ilya,0,0,2,2
BRA,PIMENTA Larissa,0,0,2,2
AUS,GLAETZER Matthew,0,0,2,2
GBR,WOODS Kimberley,0,0,2,2
GBR,POTTER Beth,0,0,2,2
GBR,ANNING Amber,0,0,2,2
GBR,FRY Charlotte,0,0,2,2
GBR,NIELSEN Laviai,0,0,2,2
GBR,REARDON Samuel,0,0,2,2
GBR,HAYDOCK-WILSON Alex,0,0,2,2
HUN,FOJT Sara,0,0,2,2
KOR,LEE Joonhwan,0,0,2,2
HUN,PUPP Noemi,0,0,2,2
IND,BHAKER Manu,0,0,2,2
KOR,KIM Hayun,0,0,2,2
HKG,HAUGHEY Siobhan Bernadette,0,0,2,2
KOR,SHIN Yubin,0,0,2,2
GBR,YEARGIN Nicole,0,0,2,2
USA,FISHER Grant,0,0,2,2
USA,NEDOROSCIK Stephen,0,0,2,2
AIN,LITVINOVICH Ivan,1,0,0,1
ALG,KHELIF Imane,1,0,0,1
ARG,TORRES GIL Jose,1,0,0,1
ALG,NEMOUR Kaylia,1,0,0,1
AUS,BLEDDYN Oliver,1,0,0,1
USA,MOORE Jasmine,0,0,2,2
AUS,LEAHY Conor,1,0,0,1
AUS,CAMPBELL Bronte,1,0,0,1
AUS,KENNEDY Nina,1,0,0,1
AUS,McEVOY Cameron,1,0,0,1
AUS,FOX Noemie,1,0,0,1
AUS,BROWN Grace,1,0,0,1
AUS,EBDEN Matthew,1,0,0,1
AUS,TREW Arisa,1,0,0,1
AUS,SAKAKIBARA Saya,1,0,0,1
AUS,PALMER Keegan,1,0,0,1
AUS,PALLISTER Lani,1,0,0,1
AUS,O'BRIEN Kelland,1,0,0,1
AUS,PERKINS Jamie,1,0,0,1
AUS,PEERS John,1,0,0,1
AUS,THROSSELL Brianna,1,0,0,1
AUT,VADLAU Lara,1,0,0,1
AUS,WEARN Matt,1,0,0,1
AUS,WUNSCH Olivia,1,0,0,1
AUT,BONTUS Valentin,1,0,0,1
AZE,HEYDAROV Hidayat,1,0,0,1
AUS,WELSFORD Sam,1,0,0,1
AUT,MAEHR Lukas,1,0,0,1
BEL,THIAM Nafissatou,1,0,0,1
BRA,SILVA RAMOS Ana Patricia,1,0,0,1
BUL,NOVIKOV Semen Sergeevich,1,0,0,1
AZE,KOTSOIEV Zelym,1,0,0,1
BUL,NASAR Karlos May,1,0,0,1
BRN,YAVI Winfred,1,0,0,1
BRA,SANTOS LISBOA Eduarda,1,0,0,1
BRN,TAZHUDINOV Akhmed,1,0,0,1
CAN,De GRASSE Andre,1,0,0,1
CAN,KATZBERG Ethan,1,0,0,1
CAN,PHIL WIZARD,1,0,0,1
CAN,BLAKE Jerome,1,0,0,1
BUL,RAMAZANOV Magomed Eldarovitch,1,0,0,1
CAN,BROWN Aaron,1,0,0,1
CAN,DEGUCHI Christa,1,0,0,1
CHN,CAO Yuan,1,0,0,1
CHN,CHANG Hao,1,0,0,1
CAN,RODNEY Brendon,1,0,0,1
CHN,CHANG Yuan,1,0,0,1
CAN,ROGERS Camryn,1,0,0,1
CHN,CHENG Wentao,1,0,0,1
CHN,CHEN Qing Chen,1,0,0,1
CHI,CROVETTO CHADID Francisca,1,0,0,1
CHN,DING Xinyi,1,0,0,1
CHN,DENG Yawen,1,0,0,1
CHN,HAO Ting,1,0,0,1
CHN,GUO Qiqi,1,0,0,1
CHN,HUANG Zhangjiayang,1,0,0,1
